=== Sheet: Common ===
 | Mã ibom | Mô tả | Mã sản phẩm | Nhãn hiệu | Đơn vị | Ghi chú | Làm rõ logic |  | 
 |  W800xH2100xD600x2.0mm_7032 | Vỏ tủ điện W800xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W800xH2100xD600x2.0mm | VN | cái |  | Chỉ chọn 1 trong các option này
Cần tạo ra: textbox nhập số khung, số mặt tủ để tính toán lọc bụi, quạt, đèn, công tắc hành trình |  | 
 |  W1600xH2100xD600x2.0mm_7032 | Vỏ tủ điện W1600xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W1600xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W2400xH2100xD600x2.0mm_7032 | Vỏ tủ điện W2400xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W2400xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W3200xH2100xD600x2.0mm_7032 | Vỏ tủ điện W3200xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W3200xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W3600xH2100xD600x2.0mm_7032 | Vỏ tủ điện W3600xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W3600xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W900xH2100xD600x2.0mm_7032 | Vỏ tủ điện W900xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W900xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W1800xH2100xD600x2.0mm_7032 | Vỏ tủ điện W1800xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W1800xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W2700xH2100xD600x2.0mm_7032 | Vỏ tủ điện W2700xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W2700xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W3600xH2100xD600x2.0mm_7032 | Vỏ tủ điện W3600xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W3600xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W4500xH2100xD600x2.0mm_7032 | Vỏ tủ điện W4500xH2100xD600x2.0mm, tủ khung, màu RAL 7032 | W4500xH2100xD600x2.0mm | VN | cái |  |  |  | 
 |  W800xH2100xD800x2.0mm_7032 | Vỏ tủ điện W800xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W800xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W1600xH2100xD800x2.0mm_7032 | Vỏ tủ điện W1600xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W1600xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W2400xH2100xD800x2.0mm_7032 | Vỏ tủ điện W2400xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W2400xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W3200xH2100xD800x2.0mm_7032 | Vỏ tủ điện W3200xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W3200xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W4000xH2100xD800x2.0mm_7032 | Vỏ tủ điện W4000xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W4000xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W900xH2100xD800x2.0mm_7032 | Vỏ tủ điện W900xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W900xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W1800xH2100xD800x2.0mm_7032 | Vỏ tủ điện W1800xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W1800xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W2700xH2100xD800x2.0mm_7032 | Vỏ tủ điện W2700xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W2700xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W3600xH2100xD900x2.0mm_7032 | Vỏ tủ điện W3600xH2100xD900x2.0mm, tủ khung, màu RAL 7032 | W3600xH2100xD900x2.0mm | VN | cái |  |  |  | 
 |  W4500xH2100xD800x2.0mm_7032 | Vỏ tủ điện W4500xH2100xD800x2.0mm, tủ khung, màu RAL 7032 | W4500xH2100xD800x2.0mm | VN | cái |  |  |  | 
 |  W3600xH2100xD900x2.0mm_FF160.4002.C3  | Vỏ tủ điện W3200xH2100xD800x2.0mm, tủ khung, màu FF160/4002/C3  | W3200xH2100xD800x2.0mm | VN | cái |  |  |  | 
 | AGXY001 | Nhãn tên tủ điện |  | VN | Lô |  | số lượng tùy chọn (mặc định để 1) |  | 
 |  | CB tổng |  |  | cái |  | Người dùng tự tra mã trong product library |  | 
 |  | Shuntrip |  |  | cái |  | Tự động sinh theo CB tổng |  | 
 | 5094656 | Bộ chống sét lan truyền V20 | 5094656 | OBO | Bộ |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 | 5093654 | Bộ chống sét lan truyền V50-B+C/3+NPE | 5093654 | OBO | Bộ |  |  |  | 
 | YW1P-1EQM3R | Đèn báo pha đỏ, 220VAC, D22 | YW1P-1EQM3R | Idec | cái |  | số lượng tùy chọn (mặc định để 2) |  | 
 | YW1P-1EQM3Y | Đèn báo pha vàng, 220VAC, D22 | YW1P-1EQM3Y | Idec | cái |  | số lượng tùy chọn (mặc định để 2) |  | 
 | YW1P-1EQM3S | Đèn báo pha xanh dương, 220VAC, D22 | YW1P-1EQM3S | Idec | cái |  | số lượng tùy chọn (mặc định để 2) |  | 
 | OMG-FS32X+OFL10x38-2A | Cầu chì 2A | OMG-FS32X+OFL10x38-2A | OMEGA | Bộ |  | Khối lượng bằng tổng 3 loại đèn báo pha ở trên |  | 
 | YW1B-V4E11R | EMG Stop, D22, màu đỏ | YW1B-V4E11R | Idec | cái |  | số lượng tùy chọn (mặc định để 1) |  | 
 | YW1B-M1E11R | Nút nhấn đèn patlight, D22 | YW1B-M1E11R | Idec | cái |  | Khối lượng bằng "Đèn báo động patlight, có chuông, màu đỏ 24VDC" |  | 
 | CHAE002 | Đèn báo động patlight, có chuông, màu đỏ 24VDC |  | China | cái |  | số lượng tùy chọn (mặc định để 1) |  | 
 | 1SVR730794R3300 | Thiết bị bảo vệ mất pha và đảo pha-A | 1SVR730794R3300 | ABB | Bộ |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 | RM22TR33 | Thiết bị bảo vệ mất pha và đảo pha-S | RM22TR33 | Schneider | Bộ |  |  |  | 
 | DPM680 | Bộ đo điện đa năng, TCP/IP | DPM680 | Mikro | Bộ |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 | RX380-415AD | Bộ đo điện đa năng | RX380-415AD | Mikro | Bộ |  |  |  | 
 | R201-230A | Bảo vệ chạm đất | R201-230A | Mikro | Bộ |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 | R301-230A | Bảo vệ chạm đất-ZCT | R301-230A | Mikro | Bộ |  |  |  | 
 | ZCT60S | ZCT | ZCT60S | Mikro | cái |  | Khối lượng bằng "Bảo vệ chạm đất-ZCT" |  | 
 | MCT_50-5_CL.3_5VA | MCT, 50/5, CL.3-5VA |  | OMEGA | cái | Loại đúc, có đế | Có option lựa chọn MCT dạng lắp trên bus bar hay dạng luồn cáp
Điều kiện tiên quyết: "bảo vệ chạm đất"<>0---->Khối lượng dựa vào dòng định mức CB tổng, ví dụ CB 250A sẽ lựa chọn MCT 250/5 3 cái & PCT 250/A 4 cái |  | 
 | MCT_75-5_CL.3_5VA | MCT đúc, có đế, 75/5, CL.3-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_100-5_CL.1_5VA | MCT đúc, có đế, 100/5, CL.1-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_100-5_CL.5P10_5VA | PCT đúc, có đế, 100/5, CL.5P10-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_150-5_CL.1_5VA | MCT đúc, có đế, 150/5, CL.1-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_150-5_CL.5P10_5VA | PCT đúc, có đế, 150/5, CL.5P10-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_200-5_CL.1_5VA | MCT đúc, có đế, 200/5, CL.1-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_200-5_CL.5P10_5VA | PCT đúc, có đế, 200/5, CL.5P10-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_250-5_CL.1_5VA | MCT đúc, có đế, 250/5, CL.1-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_250-5_CL.5P10_5VA | PCT đúc, có đế, 250/5, CL.5P10-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_300-5_CL.1_5VA | MCT đúc, có đế, 300/5, CL.1-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_300-5_CL.5P10_5VA | PCT đúc, có đế, 300/5, CL.5P10-5VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_400-5_CL.1_15VA | MCT đúc, có đế, 400/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_400-5_CL.5P10_15VA | PCT đúc, có đế, 400/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_500-5_CL.1_15VA | MCT đúc, có đế, 500/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_500-5_CL.5P10_15VA | PCT đúc, có đế, 500/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_600-5_CL.1_15VA | MCT đúc, có đế, 600/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_600-5_CL.5P10_15VA | PCT đúc, có đế, 600/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_800-5_CL.1_15VA | MCT đúc, có đế, 800/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | PCT_800-5_CL.5P10_15VA | PCT đúc, có đế, 800/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_1000-5_CL.1_15VA | MCT đúc, chữ nhật, 1000/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | PCT_1000-5_CL.5P10_15VA | PCT đúc, chữ nhật, 1000/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | PCT_1000-5_CL.5P10_15VA | PCT đúc, có đế, 1000/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | MCT_1200-5_CL.1_15VA | MCT đúc, chữ nhật, 1200/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | PCT_1200-5_CL.5P10_15VA | PCT đúc, chữ nhật, 1200/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | MCT_1200-5_CL.1_15VA | MCT đúc, có đế, 1200/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
